ID,Company Name,YearEstablished,Label_Title,Address Line 1,City,State,Postcode,Country,Address_1Line,GeocodeStatus,Confidence,MatchedAddress,Provider,Timestamp,AddrForQuery,Latitude,Longitude,geo.Confidence,geo.MatchedAddress,geo.GeocodeStatus,geo.Provider,geo.Timestamp
JC0001,8 ISLES  SDN. BHD.,2018,8 ISLES  SDN. BHD. (est. 2018),"SUITE 163E, LEVEL 16, HUNZA TOWER GURNEY PARAGON, JALAN KELAWAI",GEORGE TOWN,PULAU PINANG,10250,MALAYSIA,"8 ISLES  SDN. BHD., SUITE 163E, LEVEL 16, HUNZA TOWER GURNEY PARAGON, JALAN KELAWAI, GEORGE TOWN, PULAU PINANG, 10250, MALAYSIA",,,,,,"8 ISLES  SDN. BHD., SUITE 163E, LEVEL 16, HUNZA TOWER GURNEY PARAGON, JALAN KELAWAI, GEORGE TOWN, PULAU PINANG, 10250, MALAYSIA",,,,,OK,OpenCage,45945.04138
JC0002,ABCDE COFFEE SDN. BHD.,,ABCDE COFFEE SDN. BHD.,"NO. 20G, JALAN TELAWI 2, BANGSAR BARU",KUALA LUMPUR,KUALA LUMPUR,59100,MALAYSIA,"ABCDE COFFEE SDN. BHD., NO. 20G, JALAN TELAWI 2, BANGSAR BARU, KUALA LUMPUR, KUALA LUMPUR, 59100, MALAYSIA",,,,,,"ABCDE COFFEE SDN. BHD., NO. 20G, JALAN TELAWI 2, BANGSAR BARU, KUALA LUMPUR, KUALA LUMPUR, 59100, MALAYSIA",3.1317,101.6707,7,"59100, Malaysia",OK,OpenCage,45945.04143
JC0003,ABEAM CONSULTING (MALAYSIA) SDN. BHD.,,ABEAM CONSULTING (MALAYSIA) SDN. BHD.,"LEVEL 8-1, CP TOWER, NO. 11, JALAN 16/11, OFF JALAN DAMANSARA",PETALING JAYA,SELANGOR,46350,MALAYSIA,"ABEAM CONSULTING (MALAYSIA) SDN. BHD., LEVEL 8-1, CP TOWER, NO. 11, JALAN 16/11, OFF JALAN DAMANSARA, PETALING JAYA, SELANGOR, 46350, MALAYSIA",,,,,,"ABEAM CONSULTING (MALAYSIA) SDN. BHD., LEVEL 8-1, CP TOWER, NO. 11, JALAN 16/11, OFF JALAN DAMANSARA, PETALING JAYA, SELANGOR, 46350, MALAYSIA",3.116,101.6425,7,"46350, Malaysia",OK,OpenCage,45945.0415
JC0004,ABSOLUTE FINANCIAL SOLUTIONS LTD.,,ABSOLUTE FINANCIAL SOLUTIONS LTD.,"SUITE B-10-01 PLAZA MONT KIARA, 2 JALAN KIARA MONT KIARA",KUALA LUMPUR,KUALA LUMPUR,50480,MALAYSIA,"ABSOLUTE FINANCIAL SOLUTIONS LTD., SUITE B-10-01 PLAZA MONT KIARA, 2 JALAN KIARA MONT KIARA, KUALA LUMPUR, KUALA LUMPUR, 50480, MALAYSIA",,,,,,"ABSOLUTE FINANCIAL SOLUTIONS LTD., SUITE B-10-01 PLAZA MONT KIARA, 2 JALAN KIARA MONT KIARA, KUALA LUMPUR, KUALA LUMPUR, 50480, MALAYSIA",3.163,101.6753,7,"50480, Malaysia",OK,OpenCage,45945.04156
JC0005,ACCESS TECHNO SOLUTIONS MALAYSIA SDN.,,ACCESS TECHNO SOLUTIONS MALAYSIA SDN.,"NO 12- 06 LEVEL 12, DUPLEX OFFICE PLAZA AZALEA, PERSIARAN BANDARAYA, SECTION 14",SHAH ALAM,SELANGOR,40000,MALAYSIA,"ACCESS TECHNO SOLUTIONS MALAYSIA SDN., NO 12- 06 LEVEL 12, DUPLEX OFFICE PLAZA AZALEA, PERSIARAN BANDARAYA, SECTION 14, SHAH ALAM, SELANGOR, 40000, MALAYSIA",,,,,,"ACCESS TECHNO SOLUTIONS MALAYSIA SDN., NO 12- 06 LEVEL 12, DUPLEX OFFICE PLAZA AZALEA, PERSIARAN BANDARAYA, SECTION 14, SHAH ALAM, SELANGOR, 40000, MALAYSIA",,,,,OK,OpenCage,45945.04158
JC0006,ACCRETECH (MALAYSIA) SDN. BHD.,,ACCRETECH (MALAYSIA) SDN. BHD.,"NO.15, JALAN PJS 8/17, DATARAN MENTARI, BANDAR SUNWAY",PETALING JAYA,SELANGOR,46150,MALAYSIA,"ACCRETECH (MALAYSIA) SDN. BHD., NO.15, JALAN PJS 8/17, DATARAN MENTARI, BANDAR SUNWAY, PETALING JAYA, SELANGOR, 46150, MALAYSIA",,,,,,"ACCRETECH (MALAYSIA) SDN. BHD., NO.15, JALAN PJS 8/17, DATARAN MENTARI, BANDAR SUNWAY, PETALING JAYA, SELANGOR, 46150, MALAYSIA",3.109,101.5704,7,"46150, Malaysia",OK,OpenCage,45945.04162
JC0007,ACE HIGH TECHNOLOGY DESIGN CENTER SDN. BHD.,,ACE HIGH TECHNOLOGY DESIGN CENTER SDN. BHD.,"B-05-03A, 5TH FLOOR BLOCK B, SOUTH CITY APT. PERSIARAN SERDANG PERDANA TAMAN SERDANG PERDANA",SERI KEMBANGAN,SELANGOR,43300,MALAYSIA,"ACE HIGH TECHNOLOGY DESIGN CENTER SDN. BHD., B-05-03A, 5TH FLOOR BLOCK B, SOUTH CITY APT. PERSIARAN SERDANG PERDANA TAMAN SERDANG PERDANA, SERI KEMBANGAN, SELANGOR, 43300, MALAYSIA",,,,,,"ACE HIGH TECHNOLOGY DESIGN CENTER SDN. BHD., B-05-03A, 5TH FLOOR BLOCK B, SOUTH CITY APT. PERSIARAN SERDANG PERDANA TAMAN SERDANG PERDANA, SERI KEMBANGAN, SELANGOR, 43300, MALAYSIA",3.0383,101.7094,7,"43300, Malaysia",OK,OpenCage,45945.04165
JC0008,AD NAGATA MALAYSIA SDN. BHD.,,AD NAGATA MALAYSIA SDN. BHD.,"D-5-3, SUNWAY NEXIS NO.1, JALAN PJU 5/1, KOTA DAMANSARA 47810 PETALING JAYA, SELANGOR",PETALING JAYA,SELANGOR,47810,MALAYSIA,"AD NAGATA MALAYSIA SDN. BHD., D-5-3, SUNWAY NEXIS NO.1, JALAN PJU 5/1, KOTA DAMANSARA 47810 PETALING JAYA, SELANGOR, PETALING JAYA, SELANGOR, 47810, MALAYSIA",,,,,,"AD NAGATA MALAYSIA SDN. BHD., D-5-3, SUNWAY NEXIS NO.1, JALAN PJU 5/1, KOTA DAMANSARA 47810 PETALING JAYA, SELANGOR, PETALING JAYA, SELANGOR, 47810, MALAYSIA",,,,,OK,OpenCage,45945.04169
JC0009,ADACHI ELECTRIC (MALAYSIA) SDN. BHD.,2024,ADACHI ELECTRIC (MALAYSIA) SDN. BHD. (est. 2024),"1-3-11, I-AVENUE, MEDAN RELAU KAMPUNG 1, JALAN TUN DR. AWANG",BAYAN LEPAS,PULAU PINANG,11900,MALAYSIA,"ADACHI ELECTRIC (MALAYSIA) SDN. BHD., 1-3-11, I-AVENUE, MEDAN RELAU KAMPUNG 1, JALAN TUN DR. AWANG, BAYAN LEPAS, PULAU PINANG, 11900, MALAYSIA",,,,,,"ADACHI ELECTRIC (MALAYSIA) SDN. BHD., 1-3-11, I-AVENUE, MEDAN RELAU KAMPUNG 1, JALAN TUN DR. AWANG, BAYAN LEPAS, PULAU PINANG, 11900, MALAYSIA",,,,,OK,OpenCage,45945.04171
JC0010,ADAMS DIGITAL SDN. BHD.,2005,ADAMS DIGITAL SDN. BHD. (est. 2005),"NO.58 JALAN BALAKONG JAYA 6, TAMAN INDUSTRI BALAKONG JAYA",SERI KEMBANGAN,SELANGOR,43300,MALAYSIA,"ADAMS DIGITAL SDN. BHD., NO.58 JALAN BALAKONG JAYA 6, TAMAN INDUSTRI BALAKONG JAYA, SERI KEMBANGAN, SELANGOR, 43300, MALAYSIA",,,,,,"ADAMS DIGITAL SDN. BHD., NO.58 JALAN BALAKONG JAYA 6, TAMAN INDUSTRI BALAKONG JAYA, SERI KEMBANGAN, SELANGOR, 43300, MALAYSIA",3.0383,101.7094,7,"43300, Malaysia",OK,OpenCage,45945.04174
